symbol,symbol_type,exchange_name,description
decentraland-wearables,nft,Crypto,
decentraland-wearables/USDT,nft,Crypto,
rarible,nft,Crypto,
rarible/USDT,nft,Crypto,
sandbox,nft,Crypto,
sandbox/USDT,nft,Crypto,
art-blocks,nft,Crypto,
art-blocks/USDT,nft,Crypto,
decentraland,nft,Crypto,
decentraland/USDT,nft,Crypto,
cryptopunks,nft,Crypto,
cryptopunks/USDT,nft,Crypto,
cyberbrokers,nft,Crypto,
cyberbrokers/USDT,nft,Crypto,
meebits,nft,Crypto,
meebits/USDT,nft,Crypto,
boredapeyachtclub,nft,Crypto,
boredapeyachtclub/USDT,nft,Crypto,
mutant-ape-yacht-club,nft,Crypto,
mutant-ape-yacht-club/USDT,nft,Crypto,
dourdarcels,nft,Crypto,
dourdarcels/USDT,nft,Crypto,
gnssbymgxs,nft,Crypto,
gnssbymgxs/USDT,nft,Crypto,
clonex,nft,Crypto,
clonex/USDT,nft,Crypto,
azuki,nft,Crypto,
azuki/USDT,nft,Crypto,
loser-club-official,nft,Crypto,
loser-club-official/USDT,nft,Crypto,
USD/KRW,forex,Forex,
SOCAR,stock,KRX,
DELL,stock,NYSE,
ATS,stock,NYSE,
PRO,stock,NYSE,
AI,stock,NYSE,
HLX,stock,NYSE,
CANO,stock,NYSE,
RAD,stock,NYSE,
ISRG,stock,NASDAQ,
SYM,stock,NASDAQ,
VFS,stock,NASDAQ,
LHA.DE,stock,XETR,
ARM,stock,NASDAQ,
COST,stock,NASDAQ,
P911,stock,XETR,
IXD1,stock,XETR,
DTG,stock,XETR,
SAP.X,stock,XETR,
BMW.X,stock,XETR,
AIRBUS,stock,XETR,
ADIDAS,stock,XETR,
JFIN,stock,NASDAQ,
PERI,stock,NASDAQ,
OPRA,stock,NASDAQ,
ORANGEJUICE,commodity,Commodity ORANGEJUICE,
CXW,stock,NYSE,
GEO,stock,NYSE,
RR.L,stock,LSE,
SHEL,stock,NYSE,
HEIA,stock,Euronext Amsterdam,
HON,stock,NASDAQ,
1SXP,stock,XETR,
MTSS,stock,MOEX,
BANE,stock,MOEX,
BRZL,stock,MOEX,
SKRR,stock,TSXV,
ENSV,stock,NYSE,
TPL,stock,NYSE,
BN,stock,NYSE,
CRWD,stock,NASDAQ,
VTGN,stock,NASDAQ,
VFV,stock,TSX,
XEQT,stock,TSX,
HXQ,stock,TSX,
VDY,stock,TSX,
XEI,stock,TSX,
CDZ,stock,TSX,
XUU,stock,TSX,
KHR/USD,forex,Forex,
LAK/USD,forex,Forex,
PHP/USD,forex,Forex,
HKD/USD,forex,Forex,
KHR/EUR,forex,Forex,
LAK/EUR,forex,Forex,
PHP/EUR,forex,Forex,
HKD/EUR,forex,Forex,
SGD/EUR,forex,Forex,
USD/PHP,forex,Forex,
USD/LAK,forex,Forex,
USD/KHR,forex,Forex,
EUR/SGD,forex,Forex,
EUR/KHR,forex,Forex,
EUR/LAK,forex,Forex,
EUR/PHP,forex,Forex,
EUR/HKD,forex,Forex,
TTWO,stock,NASDAQ,
AC,tsx,TSX,
SRT,stock,XETR,
PHOR,moex,MOEX,
MTLR,moex,MOEX,
PIKK,moex,MOEX,
SELG,moex,MOEX,
CHMF,moex,MOEX,
FIVE,moex,MOEX,
REP.BME,stock,BME,
NOC,stock,NYSE,
GD,stock,NYSE,
LDOS,stock,NYSE,
KBR,stock,NYSE,
CACI,stock,NYSE,
BWXT,stock,NYSE,
RKLB,stock,NYSE,
MAYBANK,stock,MYX,
TENAGA,stock,MYX,
PBBANK,stock,MYX,
PCHEM,stock,MYX,
AAX,stock,MYX,
ENEL.MI,stock,MTA,
ENI.MI,stock,MTA,
ISP.MI,stock,MTA,
UCG.MI,stock,MTA,
G.MI,stock,MTA,
SPM.MI,stock,MTA,
PIRC.MI,stock,MTA,
AMP.MI,stock,MTA,
FTSEMIB.MI,index,MTA,
TIA-USD,crypto,Crypto,
TUPRS,stock,BIST,
THYAO,stock,BIST,
ASELS,stock,BIST,
XU100,index,BIST,BIST 100
AKBNK,stock,BIST,
AKSA,stock,BIST,
AKSEN,stock,BIST,
ARCLK,stock,BIST,
EREGL,stock,BIST,
ASTOR,stock,BIST,
KOZAL,stock,BIST,
PGSUS,stock,BIST,
ODAS,stock,BIST,
IRONORE,commodity,Commodity IRONORE,Iron ORE Spot
OP-USD,crypto,Crypto,
LDO-USD,crypto,Crypto,
INJ-USD,crypto,Crypto,
APT-USD,crypto,Crypto,
IMX-USD,crypto,Crypto,
RNDR-USD,crypto,Crypto,
ORDI-USD,crypto,Crypto,
SNX-USD,crypto,Crypto,
XEC-USD,crypto,Crypto,
RPL-USD,crypto,Crypto,
MBOX-USD,crypto,Crypto,
SUI-USD,crypto,Crypto,
IBIT,etf,NASDAQ,
DUA,stock,GPW,
CP.NYSE,stock,NYSE,
SPSK,etf,NYSE,
REMX,etf,NYSE,
URA,etf,NYSE,
ISDW,etf,LSE,
WSHR,etf,NEO,
TRNFP,stock,MOEX,
FUJI,stock,JPX,
XIAOMI,stock,HKEX,Xiaomi Corporation
UPST,stock,NASDAQ,
VRTX,stock,NASDAQ,
BAS.DE,stock,XETR,
BAYN.DE,stock,XETR,
ALV.DE,stock,XETR,
SIE.DE,stock,XETR,
DBK.DE,stock,XETR,
CON.DE,stock,XETR,
DHL.DE,stock,XETR,
PAH3.DE,stock,XETR,
CBK.DE,stock,XETR,
DTE.DE,stock,XETR,
DB1.DE,stock,XETR,
BATS.L,stock,LSE,
HSBA.L,stock,LSE,
BARC.L,stock,LSE,
IHG.L,stock,LSE,
BP.L,stock,LSE,
NXT.L,stock,LSE,
LLOY.L,stock,LSE,
MKS.L,stock,LSE,
NWG.L,stock,LSE,
PRU.L,stock,LSE,
VOD.L,stock,LSE,
AZN.L,stock,LSE,
LGEN.L,stock,LSE,
IMB.L,stock,LSE,
RKT.L,stock,LSE,
KGF.L,stock,LSE,
REL.L,stock,LSE,
CNA.L,stock,LSE,
III.L,stock,LSE,
WPP.L,stock,LSE,
TSCO.L,stock,LSE,
DGE.L,stock,LSE,
HIK.L,stock,LSE,
FCIT.L,stock,LSE,
RIO.L,stock,LSE,
AAL.L,stock,LSE,
BNZL.L,stock,LSE,
BRBY.L,stock,LSE,
